Unique ID 	Parent	Name
560	552	Women's Fashion
561	560	Women's Accessories
562	561	Women's Glasses
563	561	Women's Handbags and Wallets
564	561	Women's Hats and Scarves
565	561	Women's Jewelry and Watches
566	560	Women's Clothing
567	566	Women's Business Wear
568	566	Women's Casual Wear
569	566	Women's Formal Wear
570	566	Women's Intimates and Sleepwear
571	566	Women's Outerwear
572	566	Women's Sportswear
573	560	Women's Shoes and Footwear
574	552	Body Art
575	552	Children's Clothing
576	552	Designer Clothing
577	552	Fashion Trends
578	552	High Fashion
579	552	Men's Fashion
580	579	Men's Accessories
581	580	Men's Jewelry and Watches
582	579	Men's Clothing
583	582	Men's Business Wear
584	582	Men's Casual Wear
585	582	Men's Formal Wear
586	582	Men's Outerwear
587	582	Men's Sportswear
588	582	Men's Underwear and Sleepwear
589	579	Men's Shoes and Footwear
590	552	Personal Care
591	590	Bath and Shower
592	590	Deodorant and Antiperspirant
593	590	Oral care
594	590	Shaving
595	552	Street Style
596	 	Technology & Computing
597	596	Artificial Intelligence
598	596	Augmented Reality
599	596	Computing
600	599	Computer Networking
601	599	Computer Peripherals
602	599	Software and Applications
603	602	3-D Graphics
604	602	Photo Editing Software
605	602	Shareware and Freeware
606	602	Video Software
607	602	Web Conferencing
608	602	Antivirus Software
609	602	Browsers
610	602	Computer Animation
611	602	Databases
612	602	Desktop Publishing
613	602	Digital Audio
614	602	Graphics Software
615	602	Operating Systems
616	599	Data Storage and Warehousing
617	599	Desktops
618	599	Information and Network Security
619	599	Internet
620	619	Cloud Computing
621	619	Web Development
622	619	Web Hosting
623	619	Email
624	619	Internet for Beginners
625	619	Internet of Things
626	619	IT and Internet Support
627	619	Search
628	619	Social Networking
629	619	Web Design and HTML
630	599	Laptops
631	599	Programming Languages
632	596	Consumer Electronics
633	632	Cameras and Camcorders
634	632	Home Entertainment Systems
635	632	Smartphones
636	632	Tablets and E-readers
637	632	Wearable Technology
638	596	Robotics
639	596	Virtual Reality
640	JLBCU7	Television
641	SPSHQ5	Animation & Anime
642	SPSHQ5	Soap Opera
643	SPSHQ5	Special Interest (Indie/Art House)
645	SPSHQ5	Family/Children
646	SPSHQ5	Comedy
647	SPSHQ5	Drama
648	SPSHQ5	Factual
649	SPSHQ5	Holiday
650	SPSHQ5	Music Video
651	SPSHQ5	Reality TV
652	SPSHQ5	Science Fiction
653	 	Travel
654	653	Travel Accessories
655	653	Travel Locations
656	655	Africa Travel
657	655	Asia Travel
658	655	Australia and Oceania Travel
659	655	Europe Travel
660	655	North America Travel
661	655	Polar Travel
662	655	South America Travel
663	653	Travel Preparation and Advice
664	653	Travel Type
665	664	Adventure Travel
666	664	Family Travel
667	664	Honeymoons and Getaways
668	664	Hotels and Motels
669	664	Rail Travel
670	664	Road Trips
671	664	Spas
672	664	Air Travel
673	664	Beach Travel
674	664	Bed & Breakfasts
675	664	Budget Travel
676	664	Business Travel
677	664	Camping
678	664	Cruises
679	664	Day Trips
680	 	Video Gaming
681	680	Console Games
682	680	eSports
683	680	Mobile Games
684	680	PC Games
685	680	Video Game Genres
686	685	Action Video Games
687	685	Role-Playing Video Games
688	685	Simulation Video Games
689	685	Sports Video Games
690	685	Strategy Video Games
691	685	Action-Adventure Video Games
692	685	Adventure Video Games
693	685	Casual Games
694	685	Educational Video Games
695	685	Exercise and Fitness Video Games
696	685	MMOs
697	685	Music and Party Video Games
698	685	Puzzle Video Games
1KXCLD	 	Holidays
6i4dB6	v9i3On	Spam or Harmful Content
80DV8O	 	Communication
8FD8nI	v9i3On	Terrorism
8VZQHL	 	Events
8YPBBL	386	Civic affairs
A0AH3G	SPSHQ5	Talk Show
avbNf2	v9i3On	Arms & Ammunition
EZWB7V	SPSHQ5	History
HxqYV1	v9i3On	Hate Speech and Acts of Aggression
I4GWl6	v9i3On	Death, Injury, or Military Conflict
II436J	685	Horror Video Games
j9PaO9	v9i3On	Obscenity and Profanity
JLBCU7	 	Entertainment
KHPC5A	SPSHQ5	True Crime
KHPC6A	SPSHQ5	Western
mm3UXx	v9i3On	Online Piracy 
MQ2XML	685	Adult Video Games
pg0WhF	v9i3On	Illegal Drugs, Tobacco, eCigarettes, Vaping, Alcohol
Rm3SiT	v9i3On	Adult & Explicit Sexual Content
SPSHQ5	 	Genres
TIFQA5	SPSHQ5	Lifestyle
v9i3On	 	Sensitive Topics
VK7KD0	685	Racing Video Games
VKIV56	SPSHQ5	Nature
VWGKS7	685	Family Video Games
W3CW2J	602	Productivity
WQC6HR	602	Maps & Navigation
XtODT3	v9i3On	Crime & Harmful Acts to Individuals, Society & Human Right Violations
Z7rJBM	v9i3On	Debated Sensitive Social Issues
ZJG29S	685	Casino and Gambling Video Games
